code,name,regioFacet,level,url,name_norm,centroid_geom,centroid_lon,centroid_lat,municipality_final_v8,province_final_v8,midwest_subregion_v8,water_count,bad_entry_count,high_conf_count,night_allowed_count,night_restricted_count,night_not_allowed_count,shelter_allowed_count,shelter_restricted_count,shelter_not_allowed_count,third_rod_allowed_count,third_rod_restricted_count,third_rod_not_allowed_count,pc4_count,authority_count,species_hint,midwest_focus_v8,mapbox_feature_id_v8,map_title_v8,map_subtitle_v8,layer_type_v8
0060,Ameland,tcm:106-353419-1024,4,/regioinformatie/gemeente/ameland/,ameland,POINT (5.761373230929707 53.430729683356375),5.761373230929707,53.430729683356375,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::ameland,Ameland,,municipality_polygon
1891,Dantumadeel (Dantumadiel),tcm:106-353421-1024,4,/regioinformatie/gemeente/dantumadiel/,dantumadeel,POINT (5.984354358134082 53.28003831502457),5.984354358134082,53.28003831502457,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::dantumadeel,Dantumadeel (Dantumadiel),,municipality_polygon
1921,De Friese Meren,tcm:106-401747-1024,4,/regioinformatie/gemeente/de-friese-meren/,de friese meren,POINT (5.670821358391048 52.892031184244566),5.670821358391048,52.892031184244566,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::de-friese-meren,De Friese Meren,,municipality_polygon
0058,Dongeradeel,tcm:106-353422-1024,4,/regioinformatie/gemeente/dongeradeel/,dongeradeel,POINT (6.027529429308322 53.38302206226028),6.027529429308322,53.38302206226028,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::dongeradeel,Dongeradeel,,municipality_polygon
1722,Ferwerderadeel (Ferwerderadiel),tcm:106-353423-1024,4,/regioinformatie/gemeente/ferwerderadiel/,ferwerderadeel,POINT (5.80938271533025 53.33497545975421),5.80938271533025,53.33497545975421,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::ferwerderadeel,Ferwerderadeel (Ferwerderadiel),,municipality_polygon
0070,Franekeradeel,tcm:106-353424-1024,4,/regioinformatie/gemeente/franekeradeel/,franekeradeel,POINT (5.534155612069311 53.19837375878094),5.534155612069311,53.19837375878094,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::franekeradeel,Franekeradeel,,municipality_polygon
0072,Harlingen,tcm:106-353426-1024,4,/regioinformatie/gemeente/harlingen/,harlingen,POINT (5.26764845155419 53.14308923051905),5.26764845155419,53.14308923051905,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::harlingen,Harlingen,,municipality_polygon
0074,Heerenveen,tcm:106-353427-1024,4,/regioinformatie/gemeente/heerenveen/,heerenveen,POINT (5.977771917036106 52.99605803555082),5.977771917036106,52.99605803555082,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::heerenveen,Heerenveen,,municipality_polygon
0063,het Bildt,tcm:106-353428-1024,4,/regioinformatie/gemeente/het-bildt/,het bildt,POINT (5.649599164263177 53.28884099858841),5.649599164263177,53.28884099858841,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::het-bildt,het Bildt,,municipality_polygon
0079,Kollumerland en Nieuwkruisland,tcm:106-353429-1024,4,/regioinformatie/gemeente/kollumerland-ca/,kollumerland en nieuwkruisland,POINT (6.173536632835054 53.2998558071556),6.173536632835054,53.2998558071556,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::kollumerland-en-nieuwkruisland,Kollumerland en Nieuwkruisland,,municipality_polygon
